FIPS,svi_rpl_themes,svi_rpl_theme1,svi_rpl_theme2,svi_rpl_theme3,svi_rpl_theme4,svi_e_totpop,svi_ep_pov150,svi_ep_unemp,svi_ep_nohsdp,svi_ep_uninsur,svi_ep_age65,svi_ep_limeng,svi_ep_minrty,svi_ep_munit,svi_ep_mobile,svi_ep_noveh,svi_ep_groupq
25009252602,0.0722,0.1023,0.2637,0.5728,0.0527,4765,3.3,3.1,4.6,1.1,18.2,2.6,30.1,14.7,0.0,1.5,0.0
25009252603,0.3415,0.3534,0.6277,0.5459,0.118,2989,5.0,2.9,9.3,2.2,14.9,3.3,28.5,8.8,0.0,4.1,0.0
25009253100,0.6014,0.5443,0.8694,0.3991,0.3503,6343,20.6,4.1,4.7,1.2,15.0,4.9,19.6,10.7,0.0,6.5,0.1
25009253201,0.489,0.2655,0.6328,0.1711,0.7294,3171,6.6,4.1,4.5,0.8,19.4,2.7,10.0,20.3,0.0,8.6,4.4
25009253202,0.779,0.6937,0.6397,0.6152,0.8757,7538,21.1,4.1,3.8,7.1,10.6,3.2,32.8,33.6,0.0,7.1,8.9
25009253203,0.1142,0.027,0.354,0.3329,0.2618,4185,6.4,1.5,2.1,0.2,23.2,0.7,16.2,12.7,0.0,4.2,1.3
25009253204,0.3189,0.0621,0.5166,0.5166,0.5361,5572,2.0,2.0,4.2,0.6,16.5,2.3,26.2,26.1,0.0,5.3,2.1
25009253205,0.0019,0.0025,0.1004,0.1255,0.0,4038,1.1,2.1,0.0,0.2,14.7,0.6,8.4,0.0,0.0,0.0,0.0
25009254100,0.258,0.0716,0.5035,0.3473,0.4488,6214,5.8,2.6,1.0,1.1,17.7,1.6,17.0,19.3,0.6,2.0,0.3
25009254200,0.6441,0.533,0.4011,0.4778,0.8581,5348,12.3,9.9,4.0,1.0,16.7,1.8,23.6,15.9,0.0,9.4,20.2
25009254301,0.2116,0.3296,0.2762,0.4129,0.1507,4352,8.5,5.2,6.3,1.7,15.9,1.5,20.5,2.1,0.0,0.6,8.8
25009254302,0.1218,0.0634,0.2411,0.6152,0.1965,4854,3.2,1.0,1.5,2.7,16.7,1.3,32.8,8.4,0.0,0.6,0.3
25009254401,0.2436,0.1846,0.4413,0.6708,0.1682,3763,5.0,4.5,2.6,0.8,10.8,0.9,37.4,26.8,0.0,0.0,0.0
25009254402,0.2963,0.123,0.312,0.7701,0.4124,7907,7.7,3.5,3.0,0.6,12.5,2.3,46.0,19.2,0.0,0.9,0.5
25009254403,0.2021,0.1268,0.6416,0.4585,0.1168,3951,1.3,5.7,2.3,1.3,19.1,1.1,22.9,2.8,0.0,0.9,2.1
25009260100,0.9849,0.9812,0.9586,0.862,0.9303,5495,58.6,22.3,23.3,4.0,12.0,10.6,60.9,54.3,0.0,29.2,3.3
25009260200,0.9799,0.9554,0.9981,0.7002,0.8531,3718,34.9,9.7,15.7,7.0,25.4,7.8,39.3,30.7,0.0,23.9,4.7
25009260301,0.4206,0.3396,0.4821,0.4079,0.4595,4596,13.0,3.8,4.7,0.3,16.5,2.3,20.1,5.9,0.3,2.8,1.5
25009260302,0.3748,0.4112,0.1513,0.3042,0.5675,3623,3.3,3.5,5.9,7.2,16.1,0.6,15.0,6.1,0.0,6.3,2.3
25009260401,0.4796,0.5618,0.6215,0.4154,0.2348,4088,12.8,6.1,3.9,2.4,20.9,0.5,20.7,9.6,0.0,3.1,0.3
25009260402,0.4438,0.4281,0.5957,0.4897,0.285,7034,6.4,4.6,6.7,4.2,19.9,2.8,24.3,13.6,0.0,1.0,0.2
25009260500,0.4187,0.447,0.548,0.5553,0.2147,3886,7.0,4.5,8.1,1.9,17.4,5.3,29.3,3.2,0.0,3.0,5.7
25009260600,0.634,0.7577,0.6246,0.8239,0.1971,4021,20.2,3.0,14.9,9.2,7.5,3.2,53.3,7.6,0.0,3.0,0.0
25009260700,0.7841,0.8393,0.764,0.6302,0.5386,5405,24.9,10.3,12.6,2.2,11.8,1.8,33.8,5.1,0.0,7.7,1.7
25009260800,0.85,0.8989,0.7087,0.8676,0.7018,5395,28.4,6.1,16.6,5.5,9.6,7.9,62.3,14.7,0.0,10.9,0.7
25009260900,0.7188,0.5637,0.715,0.6933,0.7715,5331,24.1,0.8,8.5,2.0,13.6,3.9,38.7,6.7,0.7,13.4,0.0
25009261000,0.43,0.5725,0.295,0.6452,0.2373,4171,12.9,1.4,9.1,4.8,12.5,1.5,35.2,3.5,0.0,4.8,0.7
25009261101,0.226,0.2825,0.4131,0.08,0.2417,5187,3.3,6.1,2.6,1.2,15.3,0.1,6.7,1.2,0.0,2.7,1.7
25009261102,0.29,0.3892,0.5116,0.6209,0.0672,5323,9.8,3.0,5.4,4.1,10.7,2.7,33.2,21.2,0.0,0.9,0.0
25009262100,0.3691,0.4401,0.3233,0.1043,0.4306,6717,10.7,2.5,5.5,3.0,22.0,0.0,7.7,3.2,9.9,4.9,0.3
25009263100,0.032,0.0766,0.3647,0.2486,0.0176,4521,7.3,3.8,2.1,0.4,23.3,0.2,12.8,0.0,0.0,1.9,0.1
25009264100,0.0709,0.1563,0.3434,0.0506,0.0791,6742,7.6,3.4,5.1,0.4,20.1,0.6,5.7,1.8,0.0,1.9,0.0
25009265101,0.0295,0.0414,0.3478,0.1081,0.0408,4021,4.6,0.9,3.6,1.1,16.8,0.7,7.8,2.0,0.0,2.7,0.1
25009265102,0.1042,0.0433,0.2574,0.2061,0.3032,4434,3.5,1.2,1.7,0.3,19.3,0.1,11.3,13.9,0.0,9.2,0.5
25009266100,0.2618,0.3063,0.2072,0.2167,0.3974,4465,5.9,4.3,1.4,3.6,18.1,0.4,11.6,15.5,0.0,2.4,1.1
25009266200,0.5926,0.494,0.5989,0.1799,0.7363,5367,20.1,3.2,5.0,0.9,14.3,0.7,10.3,14.9,0.0,10.1,3.0
25009266300,0.6277,0.4865,0.5568,0.3042,0.8267,3779,14.3,1.9,6.0,2.5,18.1,0.2,15.0,36.3,0.0,11.1,3.1
25009266400,0.5687,0.7024,0.7345,0.1899,0.2454,3668,12.8,8.4,4.8,2.4,18.6,0.3,10.7,18.4,0.0,3.3,0.0
25009267102,0.6051,0.6353,0.4463,0.3517,0.6472,5384,9.2,8.7,7.5,4.8,16.7,0.6,17.2,0.0,7.7,1.3,1.2
25009267103,0.2505,0.4426,0.1582,0.0169,0.3402,1662,10.7,3.4,5.7,1.7,33.3,0.0,3.3,4.4,1.5,8.3,0.0
25009267104,0.4363,0.3271,0.457,0.2954,0.5957,2136,12.3,3.7,3.2,1.2,25.2,0.3,14.7,27.5,2.7,10.7,0.0
