GEOID,tract_name,county,population,median_household_income,poverty_rate,renter_rate,no_vehicle_rate,multifamily_share,rent_burdened_share,svi_rpl_themes,svi_rpl_theme1,svi_rpl_theme2,svi_rpl_theme3,svi_rpl_theme4,public_ev_station_count,public_dc_fast_station_count,public_dc_fast_port_count,nearest_public_ev_station_miles,solar_proxy_municipality,municipal_solar_project_count,municipal_residential_solar_project_count,municipal_solar_capacity_dc_mw,doe_lead_join_status
25023504101,Census Tract 5041.01,Plymouth,5377.0,180369.0,0.0266181539639984,0.0746518105849582,0.0133704735376044,0.0873315363881401,0.3805970149253731,0.2348,0.0326,0.3967,0.1312,0.6654,4,1,4,1.33,NORWELL,138,116,3.826214,not_available
25023524102,Census Tract 5241.02,Plymouth,4173.0,119375.0,0.070622147489791,0.252,0.0382857142857142,0.2898468519568916,0.4285714285714285,0.3139,0.5078,0.2957,0.2249,0.1977,0,0,0,1.32,WEST BRIDGEWATER,178,165,20.022899000000002,not_available
25023510600,Census Tract 5106,Plymouth,3472.0,162083.0,0.0990187332738626,0.0676758682101513,0.0293855743544078,0.0204081632653061,0.4605263157894737,0.4357,0.4319,0.2586,0.7389,0.4105,0,0,0,1.19,BROCKTON,2369,2299,29.462186000000003,not_available
25023523201,Census Tract 5232.01,Plymouth,3136.0,115938.0,0.0826500491964578,0.2677322677322677,0.1258741258741259,0.1998050682261208,0.4626865671641791,0.2228,0.1795,0.4231,0.1774,0.3189,0,0,0,1.747,EAST BRIDGEWATER,440,422,11.866665,not_available
25017350300,Census Tract 3503,Middlesex,2848.0,143889.0,0.1306179775280899,0.631159420289855,0.2840579710144927,0.6725067385444744,0.409873708381171,0.3729,0.4444,0.0308,0.6134,0.7627,1,0,0,0.218,SOMERVILLE,752,707,10.104102999999999,not_available
25017350500,Census Tract 3505,Middlesex,1597.0,166293.0,0.0419536631183469,0.6986666666666667,0.2426666666666666,0.8681710213776722,0.2309160305343511,0.1193,0.2938,0.0339,0.2167,0.4401,0,0,0,0.302,SOMERVILLE,752,707,10.104102999999999,not_available
25017355000,Census Tract 3550,Middlesex,3479.0,158542.0,0.0488646162690428,0.5190839694656488,0.2456627342123525,0.7636252296387018,0.3114973262032086,0.4262,0.258,0.0835,0.6596,0.8657,0,0,0,0.39,CAMBRIDGE,881,803,10.190912,not_available
25017335100,Census Tract 3351,Middlesex,6215.0,120725.0,0.0471591823595686,0.351040118870728,0.0326894502228826,0.5121616992120589,0.5185185185185185,0.3754,0.5876,0.3101,0.0506,0.2837,8,5,7,0.462,WAKEFIELD,29,27,1.624038,not_available
25017368500,Census Tract 3685,Middlesex,3355.0,93182.0,0.103725782414307,0.839231547017189,0.1769464105156724,0.8143939393939394,0.4650602409638554,0.7759,0.7351,0.2618,0.8126,0.9422,0,0,0,0.561,WALTHAM,989,922,18.634272,not_available
25017356602,Census Tract 3566.02,Middlesex,4530.0,181117.0,0.0474469046543154,0.2335106382978723,0.077127659574468,0.4102030192608016,0.1389521640091116,0.2178,0.1048,0.2913,0.3554,0.4482,1,0,0,0.347,ARLINGTON,1251,1205,9.807252,not_available
25017332300,Census Tract 3323,Middlesex,7031.0,154750.0,0.0644381223328591,0.0988791032826261,0.010008006405124,0.1495041952707856,0.6072874493927125,0.3509,0.2706,0.5392,0.4878,0.2894,2,0,0,0.62,BURLINGTON,730,703,9.770748,not_available
25009251000,Census Tract 2510,Essex,1931.0,42250.0,0.2338877338877339,0.934747145187602,0.4094616639477977,0.8623417721518988,0.5357766143106457,0.9987,0.9981,0.9711,0.9819,0.9969,0,0,0,0.314,LAWRENCE,1455,1384,18.827804,not_available
25009251100,Census Tract 2511,Essex,3020.0,20545.0,0.3041345480028031,0.9283559577677224,0.6455505279034691,0.8982300884955752,0.5735174654752234,0.9975,0.9479,0.9994,0.935,0.9605,0,0,0,0.485,LAWRENCE,1455,1384,18.827804,not_available
25009205100,Census Tract 2051,Essex,6301.0,95988.0,0.0549273021001615,0.1763593380614657,0.0122931442080378,0.1340545625587958,0.6997319034852547,0.6309,0.6535,0.7841,0.7564,0.253,0,0,0,0.807,LYNN,2005,1957,16.419473999999997,not_available
25009205900,Census Tract 2059,Essex,4754.0,82105.0,0.1959401709401709,0.4811443433029909,0.1222366710013004,0.6196054254007398,0.5932432432432433,0.7621,0.7514,0.6981,0.8813,0.592,0,0,0,1.004,LYNN,2005,1957,16.419473999999997,not_available
25009206400,Census Tract 2064,Essex,6798.0,96447.0,0.0397370779802808,0.5119274809160306,0.1216603053435114,0.5615786970993818,0.5386766076421249,0.7834,0.7621,0.6962,0.9032,0.6516,0,0,0,0.706,LYNN,2005,1957,16.419473999999997,not_available
25009206600,Census Tract 2066,Essex,5721.0,89551.0,0.1164132144729942,0.5677357587362374,0.1713738630923887,0.6829602558245774,0.4274873524451939,0.9153,0.9247,0.9391,0.8763,0.6372,0,0,0,0.538,LYNN,2005,1957,16.419473999999997,not_available
25009217500,Census Tract 2175,Essex,6754.0,110429.0,0.0829213841492585,0.3267605633802817,0.155281690140845,0.4216467463479416,0.6056034482758621,0.4815,0.4702,0.2241,0.2536,0.7395,1,0,0,0.402,BEVERLY,1056,998,26.101654999999997,not_available
25009264100,Census Tract 2641,Essex,6777.0,141487.0,0.0320047414431767,0.0966275104206138,0.0075786282682834,0.1712104689203925,0.4588235294117647,0.0709,0.1563,0.3434,0.0506,0.0791,5,0,0,0.873,GROVELAND,15,13,3.768552,not_available
25009210900,Census Tract 2109,Essex,4115.0,82299.0,0.090818858560794,0.4865900383141762,0.1466885604816639,0.4705882352941176,0.3374578177727784,0.7282,0.7363,0.9052,0.2648,0.4576,0,0,0,0.59,PEABODY,31,26,1.313219,not_available
